Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
06/09/2020,06/15/2020,06/18/2020,National University,San Jose,Santa Clara County,6,Layoff Permanent
05/29/2020,06/11/2020,06/18/2020,San Francisco Symphony,San Francisco,San Francisco County,31,Layoff Permanent
05/29/2020,06/11/2020,06/18/2020,San Francisco Symphony,San Francisco,San Francisco County,63,Layoff Temporary
03/28/2020,03/18/2020,06/18/2020,Springhill Suites & Hello Betty,Oceanside,San Diego County,120,Layoff Temporary
05/28/2020,07/31/2020,06/18/2020,"AKQA, Inc.",San Francisco,San Francisco County,64,Layoff Permanent
06/05/2020,03/17/2020,06/18/2020,"Decker Electric Co, Inc.",San Francisco,San Francisco County,10,Layoff Temporary
03/24/2020,03/26/2020,06/17/2020,Frida Restaurant Americana LLC,Glendale,Los Angeles County,94,Closure Unknown at thistime
03/31/2020,03/31/2020,06/17/2020,Diamond Bar Health & Fitness LLC,Diamond Bar,Los Angeles County,72,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,Cerritos Fitness & Health LLC,Cerritos,Los Angeles County,30,Layoff Temporary
06/08/2020,06/11/2020,06/17/2020,"Din Tai Fung Restaurant, Inc.,",Arcadia,Los Angeles County,62,Layoff Permanent
05/18/2020,05/18/2020,06/17/2020,"Thales Avionics, Inc.",Irvine,Orange County,681,Layoff Temporary
06/05/2020,06/05/2020,06/17/2020,Alatus Aerosystems,Brea,Orange County,13,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,"Murrieta Fitness & Health, LLC",Murrieta,Riverside County,1,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,"SAS Restaurant Ventures, Inc. DBA Denny's",Big Bear Lake,San Bernardino County,1,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,Rancho Cucamonga Fitness LLC,Rancho Cucamonga,San Bernardino County,1,Layoff Temporary
06/04/2020,06/05/2020,06/17/2020,Pacific Clinics Advanced Behavioral Healthcare,Ontario,San Bernardino County,1,Layoff Permanent
03/20/2020,03/20/2020,06/17/2020,"Highgate Hotels, L.P. DBA Westin Long Beach",Long Beach,Los Angeles County,151,Layoff Temporary
05/04/2020,05/15/2020,06/17/2020,"United Talent Agency, LLC",Beverly Hills,Los Angeles County,171,Layoff Temporary
05/29/2020,07/31/2020,06/17/2020,Boeing,Huntington Beach,Orange County,86,Layoff Permanent
04/08/2020,04/08/2020,06/17/2020,LB Construction Inc,Roseville,Placer County,1,Layoff Temporary
06/08/2020,06/30/2020,06/16/2020,"Anschutz Southern Califorina Sports ComplexLLC, dba Dignity Health Sports Park",Carson,Los Angeles County,2,Layoff Permanent
06/08/2020,06/30/2020,06/16/2020,AXS Group LLC,Los Angeles,Los Angeles County,22,Layoff Temporary
06/08/2020,06/30/2020,06/16/2020,"L.A. Arena Company, LLC,",Los Angeles,Los Angeles County,31,Layoff Temporary
06/08/2020,06/30/2020,06/16/2020,"L.A. Live Properties, LLC",Los Angeles,Los Angeles County,2,Layoff Temporary
